Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
06:46:17,2023-01-31,ACC845780,ACC274575,4932.982203160439,UK pounds,UK pounds,UK,Nigeria,Cross-border,1.0,Normal_Small_Fan_Out
02:29:46,2023-08-09,ACC912558,ACC909957,19413.944971580782,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
11:52:32,2022-10-07,4004929488.0,7248277483.0,355.69,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:19:47,2022-10-07,286686191.0,1781214438.0,744.93,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Small_Fan_Out
11:42:01,2022-10-07,5906035370.0,5363117119.0,12810.38,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_In
15:36:00,2022-10-07,6086421020.0,7909637145.0,5735.63,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_Out
13:50:54,2022-10-07,8389148416.0,7417876118.0,5957.03,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_Out
13:06:57,2022-10-07,5027255141.0,4270865741.0,6267.26,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_In
15:36:20,2022-10-07,4296523934.0,2625203160.0,13296.49,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
12:18:10,2022-10-07,1382495057.0,1963292234.0,33973.78,Moroccan dirham,UK pounds,Morocco,UK,Cross-border,0.0,Normal_Mutual
13:10:41,2022-10-07,5907668433.0,8482785849.0,1260.11,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
11:59:35,2022-10-07,7924551009.0,7199625988.0,15893.04,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_In
11:12:45,2022-10-28,ACC823747,ACC145317,4895.077552980445,Yen,UK pounds,UK,USA,Credit card,1.0,Normal_Small_Fan_Out
13:25:45,2022-10-07,1376796548.0,6444220418.0,8224.88,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_In
13:28:33,2022-10-07,1706196950.0,3695545812.0,4914.25,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_In
13:21:34,2022-10-07,8952177221.0,4269977194.0,7392.75,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_Out
13:21:40,2022-10-07,4335622850.0,5877285590.0,304.63,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
12:49:03,2023-01-24,ACC506756,ACC215403,-4940.832296627578,UK pounds,UK pounds,Japan,USA,Cross-border,1.0,Normal_Small_Fan_Out
12:28:26,2022-10-07,2743924090.0,2027496484.0,3796.98,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
13:34:20,2022-10-07,9948105901.0,8117312471.0,275.44,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0.0,Normal_Cash_Withdrawal
15:33:11,2022-10-07,8456279067.0,8572828015.0,5622.71,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_Out
16:22:58,2022-10-07,6988928906.0,6953672776.0,8659.55,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0.0,Normal_Fan_In
11:18:29,2022-10-07,3407919855.0,8953782028.0,944.5,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
05:28:50,2023-05-11,ACC272025,ACC226249,-1905.8595035926064,UK pounds,Indian rupee,UK,Mexico,Cross-border,1.0,Normal_Small_Fan_Out
09:18:21,2023-10-21,ACC940840,ACC851825,8186.4924760674,UK pounds,US dollar,Japan,Nigeria,Cross-border,1.0,Normal_Small_Fan_Out
12:41:16,2022-05-08,ACC389200,ACC852452,7056.757917005231,UK pounds,UK pounds,UK,USA,Cross-border,1.0,Normal_Small_Fan_Out
16:08:59,2022-10-07,8197072010.0,9973502448.0,736.82,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Group
10:13:07,2022-01-23,ACC373255,ACC441225,-993.982616055142,UK pounds,Indian rupee,UK,Nigeria,Cross-border,1.0,Normal_Small_Fan_Out
12:24:09,2022-10-07,5201604365.0,5586245359.0,6446.64,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
11:13:23,2022-10-07,1290703625.0,7764825563.0,7205.61,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
10:47:12,2022-10-22,ACC390402,ACC867432,-3175.778077935621,Yen,US dollar,UK,UK,Cash Withdrawal,1.0,Normal_Small_Fan_Out
02:51:09,2022-01-17,ACC122211,ACC817853,-2100.545988166763,UK pounds,UK pounds,UK,Nigeria,Cross-border,1.0,Normal_Small_Fan_Out
09:20:04,2022-10-10,ACC612301,ACC242659,-558.3365167771717,UK pounds,UK pounds,UK,India,Cross-border,1.0,Normal_Small_Fan_Out
02:34:10,2022-07-28,ACC542942,ACC677239,8907.4370672804,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
12:17:56,2022-10-07,1300794618.0,2138505015.0,7803.02,Euro,Dirham,France,UAE,Cross-border,0.0,Normal_Fan_In
10:53:24,2022-10-07,8203229522.0,5254058209.0,4464.97,UK pounds,Dirham,UK,UAE,Cross-border,0.0,Normal_Fan_Out
13:19:44,2022-10-07,8164143401.0,3605744818.0,4353.7,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Small_Fan_Out
01:34:37,2023-09-25,ACC677083,ACC958944,2721.667337623218,UK pounds,UK pounds,UK,Mexico,Cash Withdrawal,1.0,Normal_Small_Fan_Out
14:17:40,2022-10-07,9754064584.0,3781261703.0,206.98,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0.0,Normal_Cash_Withdrawal
15:12:37,2022-10-07,525950594.0,409707192.0,6136.33,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_In
14:27:35,2022-10-07,8169244844.0,1582341069.0,129.2,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0.0,Normal_Cash_Withdrawal
15:36:37,2022-10-07,9603178079.0,8072646339.0,1698.4,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Small_Fan_Out
14:55:00,2022-10-07,8237941067.0,9105769228.0,5910.99,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_In
05:28:03,2022-02-24,ACC499191,ACC205761,-7227.352212632501,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
13:26:11,2022-10-07,8898696157.0,6646502650.0,10169.13,UK pounds,Euro,UK,France,Cross-border,0.0,Normal_Fan_In
12:03:20,2023-11-23,ACC870434,ACC526681,7245.401031665698,Yen,Indian rupee,UK,India,Cross-border,1.0,Normal_Small_Fan_Out
15:54:36,2022-10-07,5570659532.0,3450817814.0,3263.56,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:22:45,2022-10-07,8794766352.0,5800246902.0,4580.72,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Group
14:31:30,2022-10-07,7758268667.0,7505089539.0,8390.96,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_Out
18:38:31,2023-01-06,ACC458474,ACC648484,857.4403603937371,UK pounds,US dollar,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
14:07:11,2022-10-07,2072285984.0,3758422333.0,4573.51,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
13:47:26,2022-10-07,3554477131.0,5022399765.0,429.78,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
01:25:54,2023-09-26,ACC203016,ACC216936,205.54160795359803,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
12:58:41,2022-10-07,832407541.0,9603268691.0,412.29,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
13:51:48,2022-10-07,9456514108.0,5109623450.0,8356.52,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_In
16:15:10,2022-10-07,8071021440.0,8944803275.0,5272.38,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Group
15:08:31,2022-10-07,6086421020.0,1695365423.0,6499.64,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_Out
15:58:42,2022-10-07,2571475646.0,5948499072.0,6621.32,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
18:32:34,2023-05-05,ACC175521,ACC507917,-4587.293632442736,UK pounds,Naira,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
14:10:44,2022-10-07,6904169843.0,4270865741.0,6190.52,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_In
15:00:10,2022-10-07,5711826554.0,8063440965.0,12216.45,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Group
11:19:11,2022-10-07,6834477393.0,6444220418.0,8138.3,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_In
12:55:02,2022-10-07,5632388235.0,8290285433.0,1660.23,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
18:20:01,2022-03-18,ACC423651,ACC751383,3992.7158048278784,UK pounds,Naira,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
04:21:29,2022-09-29,ACC971169,ACC747975,8506.663263587841,UK pounds,UK pounds,UK,Nigeria,Cheque,1.0,Normal_Small_Fan_Out
23:29:12,2022-02-10,ACC201703,ACC251792,17989.597980081737,UK pounds,US dollar,UK,UK,Cash Deposit,1.0,Normal_Small_Fan_Out
14:16:43,2022-10-07,6904668523.0,3087234008.0,5052.04,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_Out
11:46:29,2022-10-07,7905085108.0,8232618500.0,488.28,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
10:42:16,2022-10-07,7837354873.0,2534644942.0,7944.21,UK pounds,Euro,UK,France,Cross-border,0.0,Normal_Fan_In
11:58:48,2022-10-07,4712930207.0,1493436023.0,13619.6,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_In
05:18:50,2022-03-03,ACC867015,ACC966573,9809.972360356986,UK pounds,UK pounds,UK,UK,Cash Deposit,1.0,Normal_Small_Fan_Out
14:21:38,2022-10-07,7758268667.0,4313894778.0,6706.35,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_Out
11:00:07,2022-10-07,6404844146.0,5628674969.0,6732.39,Euro,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_In
11:40:46,2022-10-07,6057444675.0,1845194308.0,18498.13,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_Out
05:23:51,2023-04-12,ACC460644,ACC361793,7825.585773781582,UK pounds,US dollar,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
12:16:03,2022-10-07,4659909437.0,1465487567.0,10710.16,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_In
11:26:25,2022-10-07,6086421020.0,6624920676.0,6259.99,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_Out
16:53:23,2022-10-07,6904668523.0,3540529623.0,9170.18,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_Out
14:29:42,2022-10-07,2299676190.0,2534644942.0,5900.99,UK pounds,Euro,UK,France,Cross-border,0.0,Normal_Fan_In
21:08:33,2023-07-24,ACC192003,ACC721669,4432.022025345281,UK pounds,UK pounds,UK,UK,Cash Deposit,1.0,Normal_Small_Fan_Out
11:38:02,2022-10-07,9222757302.0,5109623450.0,9164.62,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_In
00:44:30,2022-01-14,ACC182986,ACC818337,-4834.798743277036,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
20:27:05,2022-06-09,ACC359226,ACC714444,8964.984520535412,UK pounds,Mexican Peso,UK,Nigeria,Debit card,1.0,Normal_Small_Fan_Out
15:09:36,2022-10-07,3709430533.0,3402269996.0,7948.17,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_Out
13:36:17,2022-05-23,ACC197288,ACC369265,-4367.69332600345,UK pounds,UK pounds,UK,USA,Cross-border,1.0,Normal_Small_Fan_Out
18:25:58,2023-01-19,ACC150403,ACC660949,10068.954517433656,UK pounds,UK pounds,UK,India,Cash Withdrawal,1.0,Normal_Small_Fan_Out
23:02:11,2023-12-02,ACC655946,ACC549049,9709.708032554588,UK pounds,UK pounds,UK,UK,Cash Deposit,1.0,Normal_Small_Fan_Out
12:16:10,2022-10-07,1655245537.0,6303054928.0,3544.21,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Group
12:53:33,2022-10-07,7618340734.0,7129601367.0,1483.17,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
00:09:05,2023-09-15,ACC613403,ACC797913,17626.656969825224,UK pounds,Mexican Peso,UK,India,Cash Withdrawal,1.0,Normal_Small_Fan_Out
16:46:25,2022-10-07,2365007895.0,5745861775.0,9131.91,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_Out
11:24:15,2022-10-07,6562248766.0,6444220418.0,20038.85,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_In
12:48:50,2022-10-07,6351828759.0,1517549620.0,86.76,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0.0,Normal_Cash_Withdrawal
23:28:38,2023-04-22,ACC983218,ACC626620,-2808.4899524179955,UK pounds,Indian rupee,Japan,USA,Credit card,1.0,Normal_Small_Fan_Out
13:40:11,2022-10-07,7657581112.0,876106783.0,2563.1,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
11:44:11,2022-10-07,9746384104.0,8939055432.0,4994.55,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_Out
11:37:25,2022-10-07,5251674452.0,622243973.0,4328.62,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
21:03:11,2022-08-22,ACC487138,ACC216537,3044.220285079371,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
11:08:59,2022-10-07,6485870030.0,6051541355.0,979.83,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Small_Fan_Out
04:13:19,2022-11-10,ACC898546,ACC361204,5926.756970839648,UK pounds,UK pounds,Japan,USA,Cash Withdrawal,1.0,Normal_Small_Fan_Out
11:29:12,2022-10-07,4028253688.0,8527745568.0,10465.13,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
11:26:05,2022-10-07,675669049.0,9462027504.0,9719.0,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_Out
14:46:49,2022-10-07,7669236826.0,2685958910.0,4624.91,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_Out
14:14:02,2022-10-07,5894860557.0,8180668777.0,1898.98,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Small_Fan_Out
13:34:46,2022-10-07,8389148416.0,7489694854.0,23539.45,UK pounds,Euro,UK,Italy,Cross-border,0.0,Normal_Fan_Out
16:33:08,2022-10-07,617867590.0,8953275727.0,4761.51,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
20:10:23,2022-05-24,ACC510610,ACC996064,1037.6352994430715,UK pounds,Naira,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
12:56:51,2022-10-07,942349529.0,8518184956.0,6911.18,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_In
16:37:10,2022-10-07,6541552727.0,5240847125.0,6179.4,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_Out
10:41:03,2022-10-07,6541552727.0,5240847125.0,6193.99,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_Out
17:15:04,2022-02-28,ACC141201,ACC416521,12589.688659615107,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
14:40:24,2023-03-24,ACC684073,ACC225863,-6188.794933983591,UK pounds,Naira,UK,UK,Cash Withdrawal,1.0,Normal_Small_Fan_Out
14:32:21,2022-10-07,5778456633.0,7690305620.0,5659.43,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
13:37:20,2022-10-07,3238526156.0,1465487567.0,21334.53,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_In
14:11:03,2022-10-07,1352768610.0,5636542108.0,17347.35,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Group
16:51:51,2022-10-07,9529928225.0,4173195094.0,6467.07,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_In
15:20:54,2022-10-07,4215909084.0,6477531416.0,6868.56,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
05:36:57,2022-02-12,ACC987802,ACC304718,3002.9642799112094,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
06:31:49,2023-10-22,ACC667150,ACC355747,592.9004107942928,UK pounds,US dollar,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
14:08:39,2022-10-07,581778780.0,5466123934.0,5303.52,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_In
10:41:40,2022-10-07,7998453354.0,9600841582.0,836.76,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
15:41:38,2022-10-07,3412872591.0,1872940381.0,830.93,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
16:02:52,2022-10-07,8883997544.0,1465487567.0,8529.84,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_In
13:09:12,2022-10-07,6063481781.0,7984016799.0,3849.64,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
19:19:53,2022-10-25,ACC292331,ACC484979,991.3495399462972,UK pounds,UK pounds,UK,UK,Debit card,1.0,Normal_Small_Fan_Out
17:21:11,2022-06-13,ACC277583,ACC815349,11472.379002572288,UK pounds,Mexican Peso,UK,Mexico,Credit card,1.0,Normal_Small_Fan_Out
15:07:08,2022-10-07,3359035819.0,4193525220.0,17758.16,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
16:08:29,2022-09-24,ACC863015,ACC913991,6388.3088688892485,UK pounds,UK pounds,UK,Nigeria,Cross-border,1.0,Normal_Small_Fan_Out
14:09:49,2022-10-07,6743376113.0,621060264.0,25963.82,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_In
02:22:09,2023-05-30,ACC355598,ACC555816,13476.017208463616,UK pounds,UK pounds,UK,Mexico,Debit card,1.0,Normal_Small_Fan_Out
16:11:17,2022-10-07,5411794037.0,8352571580.0,7297.74,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_In
13:21:33,2022-10-07,9168588789.0,4889197724.0,8340.56,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Periodical
16:01:40,2022-10-07,60687612.0,9061085693.0,2619.79,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Group
01:02:08,2023-03-15,ACC112899,ACC920611,171.02511212458194,UK pounds,Naira,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
07:11:49,2022-10-01,ACC350717,ACC802000,-3753.636076907716,UK pounds,UK pounds,UK,UK,Debit card,1.0,Normal_Small_Fan_Out
11:42:06,2022-10-07,5038354427.0,436157946.0,2339.68,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:01:17,2022-10-07,9254992785.0,6661043129.0,7579.78,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
16:13:21,2022-06-30,ACC586895,ACC387808,-3631.497032013748,UK pounds,UK pounds,UK,Mexico,Cash Withdrawal,1.0,Normal_Small_Fan_Out
15:20:55,2022-10-07,9308866687.0,4638001513.0,8308.34,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Group
11:48:23,2022-10-07,850156764.0,7698046407.0,9477.67,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Group
13:36:33,2022-10-07,9051006413.0,8352571580.0,9704.66,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_In
16:03:52,2022-10-07,1953699846.0,5064807660.0,2056.24,UK pounds,Euro,UK,Spain,Cross-border,0.0,Normal_Small_Fan_Out
15:45:39,2022-10-07,425487738.0,3049600084.0,1698.4,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
15:32:44,2022-10-07,5350299715.0,1723202617.0,3609.46,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
